Tunisia,TUN,2021-01-13,Africa,458.175
Turkey,TUR,2021-01-13,Europe,276.562
Uganda,UGA,2021-01-13,Africa,6.646
Ukraine,UKR,2021-01-13,Europe,482.945
United Arab Emirates,ARE,2021-01-13,Asia,73.101
United Kingdom,GBR,2021-01-13,Europe,1250.773
United States,USA,2021-01-13,North America,1162.42
Uruguay,URY,2021-01-13,South America,79.166
Uzbekistan,UZB,2021-01-13,Asia,18.465
Vietnam,VNM,2021-01-13,Asia,0.36
Zambia,ZMB,2021-01-13,Africa,27.687
Zimbabwe,ZWE,2021-01-13,Africa,39.629
